#用户名,密码,用户昵称,FirstName,LastName,邮箱,所属组别（冒号隔开）
admin,123456,超级管理员,,admin@pantuo.com,advertiser:ShibaOrderManager:ShibaFinancialManager:BeiguangMaterialManager:BeiguangScheduleManager:ShibaSuppliesManager:UserManager
bodyadmin,123456,车身超级管理员,,admin@pantuo.com,body_roleManager
order,123456,订单管理员,,order@pantuo.com,ShibaOrderManager:ShibaSuppliesManager
financial,123456,财务管理员,,financial@pantuo.com,ShibaFinancialManager
material,123456,物料管理员,,material@pantuo.com,BeiguangMaterialManager:ShibaSuppliesManager
schedule,123456,排期管理员,,schedule@pantuo.com,BeiguangScheduleManager
hr,123456,用户管理员,,hr@pantuo.com,UserManager
sales,123456,销售专员,,sales@pantuo.com,SalesManager
adusera,123456,广告主A,,adv@pantuo.com,advertiser
aduserb,123456,广告主B,,adv@pantuo.com,advertiser
bodysales,123456,车身销售,,269048814@qq.com,bodysales
contract,123456,合同管理,,269048814@qq.com,contractManager
