admin,123456,超级管理员,,admin@pantuo.com,advertiser:ShibaOrderManager:ShibaFinancialManager:BeiguangMaterialManager:BeiguangScheduleManager:ShibaSuppliesManager:UserManager
order,123456,订单管理员,,order@pantuo.com,ShibaOrderManager:ShibaSuppliesManager
financial,123456,财务管理员,,financial@pantuo.com,ShibaFinancialManager
material,123456,物料管理员,,material@pantuo.com,BeiguangMaterialManager:ShibaSuppliesManager
schedule,123456,排期管理员,,schedule@pantuo.com,BeiguangScheduleManager
hr,123456,用户管理员,,hr@pantuo.com,UserManager
sales,123456,销售专员,,sales@pantuo.com,SalesManager
adusera,123456,广告主A,,adv@pantuo.com,advertiser
aduserb,123456,广告主B,,adv@pantuo.com,advertiser
aduserc,123456,广告主C,,adv@pantuo.com,advertiser
